date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,leavittlk_snowdepth_cm,leavittil_SWE_mm,leavittmdw_snowdepth_cm,leavittmdw_SWE_mm,squaw _snowdepth_cm,squaw_SWE_mm
4/4/2019 0:00,7:00:00,AM,267,1128,523,2090,130,660,330,1681
4/4/2019 0:00,8:00:00,AM,267,1125,521,2090,127,658,328,1681
4/4/2019 0:00,9:00:00,AM,267,1123,521,2090,127,655,328,1681
4/4/2019 0:00,10:00:00,AM,267,1128,518,2090,127,655,328,1681
4/4/2019 0:00,11:00:00,AM,267,1130,521,2090,127,655,328,1684
4/4/2019 0:00,12:00:00,PM,267,1130,521,2088,127,655,325,1684
4/4/2019 0:00,1:00:00,PM,267,1128,521,2093,127,655,323,1684
4/4/2019 0:00,2:00:00,PM,267,1130,521,2093,124,658,325,1684
4/4/2019 0:00,3:00:00,PM,267,1128,518,2093,127,655,328,1684
4/4/2019 0:00,4:00:00,PM,264,1125,521,2096,127,655,325,1689
4/4/2019 0:00,5:00:00,PM,264,1130,521,2098,127,655,330,1689
4/4/2019 0:00,6:00:00,PM,267,1125,523,2101,127,655,333,1692
4/4/2019 0:00,7:00:00,PM,267,1130,523,2096,130,650,335,1692
4/4/2019 0:00,8:00:00,PM,267,1130,523,2096,130,645,333,1692
4/4/2019 0:00,9:00:00,PM,267,1128,523,2093,130,645,333,1692
4/4/2019 0:00,10:00:00,PM,267,1130,523,2093,130,645,335,1692
4/4/2019 0:00,11:00:00,PM,267,1128,523,2093,130,645,333,1689
4/5/2019 0:00,12:00:00,AM,267,1128,523,2096,130,645,333,1692
4/5/2019 0:00,1:00:00,AM,269,1128,523,2096,130,648,333,1689
4/5/2019 0:00,2:00:00,AM,269,1125,523,2098,130,648,330,1692
4/5/2019 0:00,3:00:00,AM,267,1128,523,2101,130,655,328,1689
4/5/2019 0:00,4:00:00,AM,267,1128,523,2103,130,653,330,1692
4/5/2019 0:00,5:00:00,AM,267,1125,523,2101,130,653,330,1692
4/5/2019 0:00,6:00:00,AM,267,1128,523,2096,130,650,330,1689
4/5/2019 0:00,7:00:00,AM,267,1123,521,2096,127,648,330,1689
4/5/2019 0:00,8:00:00,AM,267,1123,521,2096,127,648,328,1689
4/5/2019 0:00,9:00:00,AM,264,1125,521,2096,127,643,328,1689
4/5/2019 0:00,10:00:00,AM,267,1123,521,2090,127,643,328,1689
4/5/2019 0:00,11:00:00,AM,264,1125,521,2093,127,638,325,1692
4/5/2019 0:00,12:00:00,PM,262,1128,521,2093,124,638,328,1692
4/5/2019 0:00,1:00:00,PM,264,1128,518,2093,127,638,330,1694
4/5/2019 0:00,2:00:00,PM,267,1125,521,2096,124,640,328,1697
4/5/2019 0:00,3:00:00,PM,267,1130,523,2093,124,638,330,1699
4/5/2019 0:00,4:00:00,PM,264,1128,521,2090,124,635,330,1699
4/5/2019 0:00,5:00:00,PM,267,1130,523,2093,124,635,330,1699
4/5/2019 0:00,6:00:00,PM,269,1130,523,2093,127,635,330,1699
4/5/2019 0:00,7:00:00,PM,269,1128,523,2093,127,632,333,1702
4/5/2019 0:00,8:00:00,PM,269,1128,523,2085,127,627,333,1702
4/5/2019 0:00,9:00:00,PM,269,1125,523,2088,127,630,333,1702
4/5/2019 0:00,10:00:00,PM,269,1128,523,2090,127,635,333,1704
4/5/2019 0:00,11:00:00,PM,269,1128,523,2090,127,635,333,1704
4/6/2019 0:00,12:00:00,AM,267,1128,523,2096,127,625,333,1704
4/6/2019 0:00,1:00:00,AM,267,1128,523,2093,127,638,333,1704
4/6/2019 0:00,2:00:00,AM,269,1125,523,2096,127,640,333,1707
4/6/2019 0:00,3:00:00,AM,269,1125,523,2098,127,640,335,1707
4/6/2019 0:00,4:00:00,AM,269,1128,526,2098,127,638,330,1707
4/6/2019 0:00,5:00:00,AM,269,1123,523,2101,127,635,333,1707
4/6/2019 0:00,6:00:00,AM,269,1123,528,2096,127,630,328,1704
4/6/2019 0:00,7:00:00,AM,269,1120,526,2093,124,627,,1707
4/6/2019 0:00,8:00:00,AM,267,1123,523,2096,124,627,335,1707
4/6/2019 0:00,9:00:00,AM,267,1118,523,2093,124,625,330,1702
4/6/2019 0:00,10:00:00,AM,267,1125,523,2090,124,615,328,1697
4/6/2019 0:00,11:00:00,AM,264,1125,523,2085,124,612,328,1697
4/6/2019 0:00,12:00:00,PM,264,1125,521,2085,119,617,325,1697
4/6/2019 0:00,1:00:00,PM,264,1128,523,2085,122,617,328,1697
4/6/2019 0:00,2:00:00,PM,262,1130,521,2085,122,617,325,1697
4/6/2019 0:00,3:00:00,PM,262,1125,521,2088,119,620,325,1694
4/6/2019 0:00,4:00:00,PM,264,1128,523,2085,119,617,325,1697
4/6/2019 0:00,5:00:00,PM,264,1128,523,2085,122,615,328,1697
4/6/2019 0:00,6:00:00,PM,264,1128,523,2088,122,612,325,1697
4/6/2019 0:00,7:00:00,PM,264,1125,523,2090,122,610,328,1702
4/6/2019 0:00,8:00:00,PM,264,1123,523,2085,122,607,328,1699
4/6/2019 0:00,9:00:00,PM,264,1123,521,2083,122,599,325,1702
4/6/2019 0:00,10:00:00,PM,264,1125,521,2083,122,605,328,1702
4/6/2019 0:00,11:00:00,PM,264,1123,521,2085,122,602,328,1702
4/7/2019 0:00,12:00:00,AM,264,1123,523,2096,122,602,325,1704
4/7/2019 0:00,1:00:00,AM,264,1123,521,2088,122,602,325,1704
4/7/2019 0:00,2:00:00,AM,264,1125,521,2093,122,607,325,1707
4/7/2019 0:00,3:00:00,AM,264,1123,521,2093,122,607,325,1704
4/7/2019 0:00,4:00:00,AM,264,1125,523,2093,122,607,325,1707
4/7/2019 0:00,5:00:00,AM,264,1123,523,2093,122,610,323,1707
4/7/2019 0:00,6:00:00,AM,264,1125,523,2090,122,605,325,1707
4/7/2019 0:00,7:00:00,AM,264,1123,521,2085,119,602,323,1707
4/7/2019 0:00,8:00:00,AM,259,1120,521,2088,119,602,320,1707
4/7/2019 0:00,9:00:00,AM,259,1123,518,2088,119,599,320,1707
4/7/2019 0:00,10:00:00,AM,259,1120,518,2085,117,594,323,1707
4/7/2019 0:00,11:00:00,AM,259,1123,518,2085,117,589,320,1707
4/7/2019 0:00,12:00:00,PM,259,1123,518,2085,114,587,320,1709
4/7/2019 0:00,1:00:00,PM,257,1123,518,2090,114,592,318,1709
4/7/2019 0:00,2:00:00,PM,257,1120,516,2093,114,597,320,1712
4/7/2019 0:00,3:00:00,PM,257,1120,516,2093,109,594,318,1712
4/7/2019 0:00,4:00:00,PM,257,1120,516,2093,109,594,318,1714
4/7/2019 0:00,5:00:00,PM,257,1118,516,2096,114,592,318,1712
4/7/2019 0:00,6:00:00,PM,259,1118,518,2093,114,584,318,1714
4/7/2019 0:00,7:00:00,PM,259,1118,518,2096,114,582,318,1712
4/7/2019 0:00,8:00:00,PM,259,1120,516,2090,114,577,318,1709
4/7/2019 0:00,9:00:00,PM,259,1115,516,2090,117,577,318,1707
4/7/2019 0:00,10:00:00,PM,259,1115,516,2093,114,577,318,1707
4/7/2019 0:00,11:00:00,PM,259,1113,518,2093,117,577,318,1707
4/8/2019 0:00,12:00:00,AM,259,1115,516,2096,117,574,318,1707
4/8/2019 0:00,1:00:00,AM,259,1113,516,2101,117,579,318,1707
4/8/2019 0:00,2:00:00,AM,259,1113,518,2106,117,582,318,1709
4/8/2019 0:00,3:00:00,AM,259,1115,516,2106,117,582,315,1707
4/8/2019 0:00,4:00:00,AM,259,1113,516,2108,114,582,315,1707
4/8/2019 0:00,5:00:00,AM,259,1113,516,2111,117,584,315,1707
4/8/2019 0:00,6:00:00,AM,259,1113,516,2108,117,582,315,1707
4/8/2019 0:00,7:00:00,AM,257,1110,516,2103,114,579,315,1704
4/8/2019 0:00,8:00:00,AM,257,1113,513,2106,114,582,315,1707
4/8/2019 0:00,9:00:00,AM,254,1113,513,2103,114,577,315,1702
4/8/2019 0:00,10:00:00,AM,254,1113,513,2103,112,574,312,1704
4/8/2019 0:00,11:00:00,AM,254,1110,511,2103,109,577,310,1702
4/8/2019 0:00,12:00:00,PM,251,1110,511,2106,109,574,310,1702
4/8/2019 0:00,1:00:00,PM,251,1110,511,2108,109,572,310,1702
4/8/2019 0:00,2:00:00,PM,251,1107,511,2111,109,572,310,1699
4/8/2019 0:00,3:00:00,PM,249,1107,508,2111,109,569,310,1694
4/8/2019 0:00,4:00:00,PM,249,1102,511,2111,107,566,310,1694
4/8/2019 0:00,5:00:00,PM,249,1105,511,2113,107,564,310,1694
4/8/2019 0:00,6:00:00,PM,251,1105,511,2113,109,561,310,1694
4/8/2019 0:00,7:00:00,PM,251,1105,511,2113,109,561,307,1697
4/8/2019 0:00,8:00:00,PM,251,1105,511,2113,109,556,307,1699
4/8/2019 0:00,9:00:00,PM,251,1105,511,2113,107,556,310,1704
4/8/2019 0:00,10:00:00,PM,251,1105,511,2121,107,559,310,1707
4/8/2019 0:00,11:00:00,PM,251,1105,762,2126,107,561,310,1707
4/9/2019 0:00,12:00:00,AM,251,1105,511,2129,109,556,307,1702
4/9/2019 0:00,1:00:00,AM,251,1107,511,2136,109,564,307,1704
4/9/2019 0:00,2:00:00,AM,251,1102,511,2136,109,564,310,1712
4/9/2019 0:00,3:00:00,AM,251,1102,511,2136,107,561,307,1707
4/9/2019 0:00,4:00:00,AM,251,1100,513,2136,109,559,310,1704
4/9/2019 0:00,5:00:00,AM,251,1105,516,2136,107,554,310,1702
4/9/2019 0:00,6:00:00,AM,251,1105,513,2129,107,546,310,1699
4/9/2019 0:00,7:00:00,AM,249,1095,513,2123,107,544,310,1699
4/9/2019 0:00,8:00:00,AM,249,1097,511,2121,104,541,307,1699
4/9/2019 0:00,9:00:00,AM,249,1095,511,2121,104,538,307,1699
4/9/2019 0:00,10:00:00,AM,246,1092,511,2118,104,536,305,1697
4/9/2019 0:00,11:00:00,AM,246,1097,511,2118,104,536,307,1699
4/9/2019 0:00,12:00:00,PM,246,1095,505,2118,104,533,305,1699
4/9/2019 0:00,1:00:00,PM,249,1097,505,2118,104,531,305,1697
4/9/2019 0:00,2:00:00,PM,246,1095,511,2121,104,533,302,1697
4/9/2019 0:00,3:00:00,PM,249,1097,505,2121,104,528,305,1697
4/9/2019 0:00,4:00:00,PM,249,1097,511,2118,104,528,305,1697
4/9/2019 0:00,5:00:00,PM,249,1092,513,2118,104,528,305,1697
4/9/2019 0:00,6:00:00,PM,249,1095,513,2116,107,526,307,1694
4/9/2019 0:00,7:00:00,PM,251,1097,513,2113,107,523,307,1692
4/9/2019 0:00,8:00:00,PM,251,1095,513,2111,107,523,307,1692
4/9/2019 0:00,9:00:00,PM,251,1095,513,2108,107,521,307,1689
4/9/2019 0:00,10:00:00,PM,251,1095,513,2111,107,521,307,1689
4/9/2019 0:00,11:00:00,PM,251,1095,513,2111,107,523,310,1687
4/10/2019 0:00,12:00:00,AM,251,1095,513,2134,107,528,310,1687
4/10/2019 0:00,1:00:00,AM,251,1095,513,2111,107,526,310,1684
4/10/2019 0:00,2:00:00,AM,251,1097,513,2113,107,528,307,1681
4/10/2019 0:00,3:00:00,AM,251,1095,513,2111,107,531,307,1681
4/10/2019 0:00,4:00:00,AM,251,1097,513,2113,107,533,307,1681
4/10/2019 0:00,5:00:00,AM,251,1095,513,2111,107,533,307,1676
4/10/2019 0:00,6:00:00,AM,251,1095,513,2108,107,531,307,1676
4/10/2019 0:00,7:00:00,AM,249,1092,511,2108,102,528,307,1674
