Time Step,Date,Time,AM/PM,snow surface temperatureC,snow depthCM,SWECM
601,4/26/19,12:00:00,AM,-0.45,400.97,186.81
602,4/26/19,1:00:00,AM,-0.56,400.83,186.64
603,4/26/19,2:00:00,AM,-0.65,401.08,186.53
604,4/26/19,3:00:00,AM,-0.89,401.1,186.39
605,4/26/19,4:00:00,AM,-1.2,401.15,186.37
606,4/26/19,5:00:00,AM,-1.02,400.88,186.32
607,4/26/19,6:00:00,AM,-0.81,400.29,186.31
608,4/26/19,7:00:00,AM,-0.38,400.08,186.16
609,4/26/19,8:00:00,AM,-0.18,399.96,185.98
610,4/26/19,9:00:00,AM,-0.1,399.57,185.85
611,4/26/19,10:00:00,AM,-0.01,399.28,185.78
612,4/26/19,11:00:00,AM,-0.05,398.58,185.68
613,4/26/19,12:00:00,PM,,396.88,185.51
614,4/26/19,1:00:00,PM,,396.02,185.28
615,4/26/19,2:00:00,PM,0,395.59,185.07
616,4/26/19,3:00:00,PM,-0.04,394.94,184.88
617,4/26/19,4:00:00,PM,-0.03,394.56,184.8
618,4/26/19,5:00:00,PM,-0.05,394.99,184.75
619,4/26/19,6:00:00,PM,-0.09,394.48,184.66
620,4/26/19,7:00:00,PM,-0.17,394.33,184.54
621,4/26/19,8:00:00,PM,-0.27,394.23,184.43
622,4/26/19,9:00:00,PM,-0.32,393.98,184.3
623,4/26/19,10:00:00,PM,-0.4,393.74,184.14
624,4/26/19,11:00:00,PM,-0.59,394.01,184.03
625,4/27/19,12:00:00,AM,-0.74,393.98,183.9
626,4/27/19,1:00:00,AM,-0.71,393.86,183.8
627,4/27/19,2:00:00,AM,-1.08,393.98,183.73
628,4/27/19,3:00:00,AM,-1.79,393.92,183.7
629,4/27/19,4:00:00,AM,-2.36,393.92,183.79
630,4/27/19,5:00:00,AM,-2.79,393.57,183.8
631,4/27/19,6:00:00,AM,-1.97,392.65,183.67
632,4/27/19,7:00:00,AM,-0.66,392.52,183.32
633,4/27/19,8:00:00,AM,-0.24,392.34,183.19
634,4/27/19,9:00:00,AM,-0.14,392.28,183.11
635,4/27/19,10:00:00,AM,-0.07,392.15,183.1
636,4/27/19,11:00:00,AM,0,391.25,183.03
637,4/27/19,12:00:00,PM,,390.27,182.85
638,4/27/19,1:00:00,PM,,389.22,182.59
639,4/27/19,2:00:00,PM,,388.71,182.35
640,4/27/19,3:00:00,PM,0,388.52,182.15
641,4/27/19,4:00:00,PM,0,388.02,182.03
642,4/27/19,5:00:00,PM,-0.01,387.94,181.93
643,4/27/19,6:00:00,PM,-0.11,388.14,181.93
644,4/27/19,7:00:00,PM,-0.27,388.03,181.94
645,4/27/19,8:00:00,PM,-0.32,388.07,181.98
646,4/27/19,9:00:00,PM,-0.81,388.09,181.97
647,4/27/19,10:00:00,PM,-0.88,388.01,181.9
648,4/27/19,11:00:00,PM,-1.51,388.15,181.92
649,4/28/19,12:00:00,AM,-1.7,388.07,181.94
650,4/28/19,1:00:00,AM,-2,387.98,181.93
651,4/28/19,2:00:00,AM,-2.58,387.72,181.94
652,4/28/19,3:00:00,AM,-3.27,387.98,182.03
653,4/28/19,4:00:00,AM,-3.6,387.61,182.03
654,4/28/19,5:00:00,AM,-3.73,387.31,182.05
655,4/28/19,6:00:00,AM,-3.19,386.62,182.1
656,4/28/19,7:00:00,AM,-1.9,386.53,181.66
657,4/28/19,8:00:00,AM,-0.67,386.03,181.14
658,4/28/19,9:00:00,AM,-0.18,385.77,181.18
659,4/28/19,10:00:00,AM,-0.12,385.85,181.18
660,4/28/19,11:00:00,AM,-0.12,385.62,181.12
661,4/28/19,12:00:00,PM,-0.07,384.59,181.07
662,4/28/19,1:00:00,PM,,383.84,180.92
663,4/28/19,2:00:00,PM,,382.83,180.59
664,4/28/19,3:00:00,PM,0,382.47,180.31
665,4/28/19,4:00:00,PM,0,381.99,180.1
666,4/28/19,5:00:00,PM,-0.15,382.38,179.96
667,4/28/19,6:00:00,PM,-0.74,382.94,179.91
668,4/28/19,7:00:00,PM,-1.14,382.93,179.92
669,4/28/19,8:00:00,PM,-1.44,382.9,180.01
670,4/28/19,9:00:00,PM,-2.12,382.7,180.13
671,4/28/19,10:00:00,PM,-2.31,382.74,180.22
672,4/28/19,11:00:00,PM,-2.53,382.77,180.28
673,4/29/19,12:00:00,AM,-2.78,382.59,180.4
674,4/29/19,1:00:00,AM,-2.95,382.63,180.42
675,4/29/19,2:00:00,AM,-3.25,382.4,180.5
676,4/29/19,3:00:00,AM,-4.28,382.5,180.63
677,4/29/19,4:00:00,AM,-4.23,382.73,180.71
678,4/29/19,5:00:00,AM,-4.25,381.94,180.78
679,4/29/19,6:00:00,AM,-3.01,381.09,180.74
680,4/29/19,7:00:00,AM,-1.13,380.91,180.11
681,4/29/19,8:00:00,AM,-0.12,380.13,179.65
682,4/29/19,9:00:00,AM,-0.16,379.57,179.83
683,4/29/19,10:00:00,AM,-0.07,379.46,179.86
684,4/29/19,11:00:00,AM,-0.05,379.08,179.8
685,4/29/19,12:00:00,PM,0,378.5,179.72
686,4/29/19,1:00:00,PM,0,378.04,179.47
687,4/29/19,2:00:00,PM,-0.01,377.26,179.03
688,4/29/19,3:00:00,PM,-0.04,376.66,178.58
689,4/29/19,4:00:00,PM,-0.13,377.07,178.29
690,4/29/19,5:00:00,PM,-0.29,377.18,178.26
691,4/29/19,6:00:00,PM,-0.74,377.59,178.32
692,4/29/19,7:00:00,PM,-1.01,377.63,178.44
693,4/29/19,8:00:00,PM,-1.86,377.5,178.63
694,4/29/19,9:00:00,PM,-2.39,377.6,178.79
695,4/29/19,10:00:00,PM,-2.85,377.63,178.98
696,4/29/19,11:00:00,PM,-3.29,377.42,179.14
